#Time #Throughput #Kauri
time	ops
1	1120
2	1600
3	1760
4	3600
5	4080
6	4000
7	4080
8	4080
9	4160
10	4080
11	4000
12	4080
13	4080
14	4080
15	4080
16	4000
17	4080
18	4080
19	4080
20	4080
21	4080
22	4000
23	4080
24	4080
25	4000
26	4080
27	4000
28	4000
29	4000
30	4000
31	4160
32	4080
33	3920
34	4160
35	4080
36	4080
37	4080
38	4160
39	4080
40	4000
41	4080
42	4080
43	4000
44	4080
45	4080
46	4000
47	4000
48	4000
49	4000
50	4160
51	4000
52	4160
53	4000
54	4080
55	4000
56	4000
57	4080
58	4000
59	4000
60	4160
61	3760
62	400
63	0
64	1120
65	1760
66	1760
67	3840
68	4000
69	4160
70	4080
71	4080
72	4080
73	4240
74	4160
75	4080
76	4080
77	4160
78	4080
79	4080
80	4080
81	4080
82	4160
83	4240
84	4000
85	4160
86	4080
87	4080
88	4080
89	4080
90	4080
91	4080
92	4080
93	4080
94	4240
95	4160
96	4240
97	4160
98	4160
99	4000
100	4000

#Time #Throughput #HotStuff secp
1	560
2	800
3	720
4	720
5	720
6	640
7	800
8	720
9	800
10	720
11	560
12	800
13	800
14	720
15	720
16	640
17	720
18	800
19	800
20	640
21	720
22	640
23	800
24	800
25	720
26	720
27	560
28	800
29	800
30	800
31	640
32	640
33	720
34	800
35	800
36	720
37	720
38	560
39	800
40	800
41	800
42	640
43	640
44	720
45	800
46	800
47	640
48	720
49	640
50	800
51	800
52	640
53	720
54	640
55	800
56	800
57	800
58	560
59	720
60	720
61	720
62	80
63	0
64	0
65	0
66	0
67	80
68	720
69	800
70	800
71	720
72	720
73	720
74	640
75	800
76	800
77	800
78	720
79	640
80	800
81	640
82	800
83	800
84	720
85	720
86	720
87	640
88	800
89	800
90	720
91	720
92	720
93	720
94	720
95	800
96	720
97	720
98	800
99	640
100	800
